seed=2
gen=399	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=400	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=401	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=402	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=403	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=404	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=405	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=406	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=407	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=408	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=409	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=410	fitness=0.000002248248	position=[2.996267, 0.499053]
gen=411	fitness=0.000001831187	position=[2.996640, 0.499193]
gen=412	fitness=0.000001831187	position=[2.996640, 0.499193]
gen=413	fitness=0.000001831187	position=[2.996640, 0.499193]
gen=414	fitness=0.000001831187	position=[2.996640, 0.499193]
gen=415	fitness=0.000001831187	position=[2.996640, 0.499193]
gen=416	fitness=0.000001831187	position=[2.996640, 0.499193]
gen=417	fitness=0.000001676757	position=[2.996926, 0.499154]
gen=418	fitness=0.000001676757	position=[2.996926, 0.499154]
gen=419	fitness=0.000001676757	position=[2.996926, 0.499154]
gen=420	fitness=0.000001676757	position=[2.996926, 0.499154]
gen=421	fitness=0.000001676757	position=[2.996926, 0.499154]
gen=422	fitness=0.000001518064	position=[2.996926, 0.499239]
gen=423	fitness=0.000001362092	position=[2.997181, 0.499239]
gen=424	fitness=0.000001362092	position=[2.997181, 0.499239]
gen=425	fitness=0.000001362092	position=[2.997181, 0.499239]
gen=426	fitness=0.000001362092	position=[2.997181, 0.499239]
gen=427	fitness=0.000001362092	position=[2.997181, 0.499239]
gen=428	fitness=0.000001362092	position=[2.997181, 0.499239]
gen=429	fitness=0.000001362092	position=[2.997181, 0.499239]
gen=430	fitness=0.000001362092	position=[2.997181, 0.499239]
gen=431	fitness=0.000001362092	position=[2.997181, 0.499239]
gen=432	fitness=0.000001362092	position=[2.997181, 0.499239]
gen=433	fitness=0.000001362092	position=[2.997181, 0.499239]
gen=434	fitness=0.000001308532	position=[2.997181, 0.499262]
gen=435	fitness=0.000001308532	position=[2.997181, 0.499262]
gen=436	fitness=0.000001308532	position=[2.997181, 0.499262]
gen=437	fitness=0.000001308532	position=[2.997181, 0.499262]
gen=438	fitness=0.000001308532	position=[2.997181, 0.499262]
gen=439	fitness=0.000001109481	position=[2.997431, 0.499316]
gen=440	fitness=0.000001109481	position=[2.997431, 0.499316]
gen=441	fitness=0.000001109481	position=[2.997431, 0.499316]
gen=442	fitness=0.000001109481	position=[2.997431, 0.499316]
gen=443	fitness=0.000001109481	position=[2.997431, 0.499316]
gen=444	fitness=0.000000769888	position=[2.997961, 0.499427]
gen=445	fitness=0.000000769888	position=[2.997961, 0.499427]
gen=446	fitness=0.000000769888	position=[2.997961, 0.499427]
gen=447	fitness=0.000000769888	position=[2.997961, 0.499427]
gen=448	fitness=0.000000769888	position=[2.997961, 0.499427]
gen=449	fitness=0.000000732851	position=[2.997961, 0.499548]
