seed=4
gen=146	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=147	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=148	fitness=13.785440022656	position=[-0.956135, -0.021212, -0.020768, -1.021378, -0.000327, -0.064345, -1.041118, -0.000815, -2.981371, 0.003689]
gen=149	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=150	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=151	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=152	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=153	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=154	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=155	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=156	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
gen=157	fitness=13.195189868917	position=[-0.966116, -0.001617, -0.032720, -1.025898, -0.003518, -0.025706, -1.047006, -0.009993, -2.983285, -0.003110]
